Movement_Date,GLN_Code,EAN_Code,Base_Unit_Code,Stock,Transit,Shipped,OOS
8/11/2020,4080398539419,4790685000310,9500188105,45402,0,432,0
8/11/2020,4080398539419,4790685000555,9500188108,25057,0,1872,0
8/11/2020,4080398539419,4790685000884,9500959798,7442,0,288,0
8/11/2020,4080398539419,4790685001034,9500704337,3409,0,0,0
8/11/2020,4080398539419,4790685003515,9500704336,6939,0,2856,0
8/11/2020,4080398539419,4790685004561,9500739441,642,0,315,0
8/11/2020,4080398539419,4790685004528,9500736916,820,0,27,0
8/11/2020,4080398539419,4790685004585,9500736917,1872,432,243,0
8/11/2020,4080398539419,4790685004622,9500736917,918,207,108,0
8/11/2020,4080398539419,4790685005035,9500736937,45,0,0,0
8/11/2020,4080398539419,4790685006551,9500733337,384,0,0,0
8/11/2020,4080398539419,4790685006800,9500738679,1659,0,20,0
8/11/2020,4080398539419,4790685002420,9500777987,1506,0,264,0
8/11/2020,4080398539419,4790685009313,9500753387,49753,13392,5166,0
8/11/2020,4080398539419,4790685010814,9500754147,3060,468,9,0
8/11/2020,4080398539419,4790685019550,9500306461,513,243,108,0
8/11/2020,4080398539419,4790685019928,9500785880,205,0,0,0
8/11/2020,4080398539419,4790685053558,9500305897,92718,0,120,0
8/11/2020,4080398539419,4790685054163,9500318810,0,0,0,27
8/11/2020,4080398539419,4790685054484,9500395894,437,0,0,0
8/11/2020,4080398539419,4790685054551,9500395895,0,0,0,2424
8/11/2020,4080398539419,4790685043992,9500765956,1081,0,72,0
8/11/2020,4080398539419,4790685500508,9500188046,12056,0,4296,0
8/11/2020,4080398539419,4790685500406,9500188101,102,0,0,0
8/11/2020,4080398539419,4790685508050,9500184495,33601,0,1720,0
8/11/2020,4080398539419,4790685551453,9500188950,9341,0,4320,0
8/11/2020,4080398539419,4790685402052,9500188107,27243,0,792,0
8/11/2020,4080398539419,4790685402501,9500184411,4370,1600,940,0
8/11/2020,4080398539419,4790685430544,9500750956,107044,27648,11424,0
8/11/2020,4080398539419,4790685483151,1011075037,12751,0,9,0
8/11/2020,4080398539419,4790685483425,9500184418,4641,0,160,0
8/11/2020,4080398539419,4790685483200,9500188110,9172,0,216,0
8/11/2020,4080398539419,4790685552456,9500773538,2256,0,504,0
8/11/2020,4080398539419,4790685552500,9505073046,3862,0,2180,0
8/11/2020,4080398539419,4790685525450,9500188106,9828,0,24,0
8/11/2020,4080398539419,4790685525424,9500105764,9960,0,20,0
8/11/2020,4080398539419,4790685663501,9500167987,8098,0,60,0
8/11/2020,4080398539419,4790685695486,9500350606,2984,0,60,0
8/11/2020,4080398539419,4790685265505,9505057956,120,0,0,160
8/12/2020,4080398539419,4790685000310,9500188105,60738,0,1966,0
8/12/2020,4080398539419,4790685000555,9500188108,24073,0,984,0
8/12/2020,4080398539419,4790685000884,9500959798,13298,5184,767,0
8/12/2020,4080398539419,4790685001034,9500704337,3313,0,96,0
